Batch Size,Trial #,Cache Size,Minimum Queue Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,2,512,384,1,3,303.64,283.92,13.16,0.09,13201.87,5485,11667,0.47012942487357506,455.46
512,2,512,384,2,1,304.04,283.54,13.66,0.09,13219.17,5407,11667,0.46344390160281135,462.16
512,2,512,384,2,2,294.38,274.19,13.5,0.09,12799.19,5546,11667,0.47535784691865945,437.62
512,2,512,384,2,3,306.73,287.01,13.24,0.09,13335.89,5459,11667,0.4679009171166538,462.16
512,3,512,384,1,1,294.41,275.25,12.82,0.09,12800.42,5334,11667,0.457186937516071,454.2
512,3,512,384,1,2,303.69,283.41,13.5,0.09,13203.93,5409,11667,0.4636153252764207,455.46
512,3,512,384,1,3,305.91,285.78,13.49,0.08,13300.4,5443,11667,0.4665295277277792,454.2
512,3,512,384,2,1,290.73,271.31,12.98,0.08,12640.47,5403,11667,0.46310105425559267,436.13
512,3,512,384,2,2,315.12,293.92,14.04,0.09,13701.06,5465,11667,0.4684151881374818,462.16
512,3,512,384,2,3,283.58,263.53,13.46,0.09,12329.63,5270,11667,0.4517013799605726,436.13
512,1,1024,768,1,1,88.52,65.23,16.4,0.1,3848.79,1289,11667,0.11048255764121025,229.66
512,1,1024,768,1,2,90.35,66.91,16.63,0.11,3928.27,1305,11667,0.11185394703008486,229.66
