Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
1024,1024,1,2560,1,2,137.350389242172,118.341594934463,12.9260663986206,0.0933244228363037,11445.865770181,2357,11667,0.20202279934859005,275.429525375366
1024,1024,1,2560,1,3,133.922384738922,115.759602546691,12.3228318691253,0.0907604694366455,11160.1987282435,2311,11667,0.19808005485557556,275.428755283355
1024,1024,1,2560,2,1,141.098381519317,121.168517589569,13.4228348731994,0.0909843444824218,11758.1984599431,2394,11667,0.20519413731036257,281.060891866683
1024,1024,1,2560,2,2,138.433175325393,119.234628200531,13.0971438884735,0.0862202644348144,11536.0979437828,2395,11667,0.20527984914716724,281.059955120086
1024,1024,1,2560,2,3,139.039791584014,120.832710504531,12.4212129116058,0.0880968570709228,11586.6492986679,2306,11667,0.19765149567155224,281.060885906219
1024,1024,2,2560,1,1,137.205252408981,118.029454946517,13.0434808731079,0.0879604816436767,11433.7710340817,2401,11667,0.2057941201679952,274.265980958938
1024,1024,2,2560,1,2,136.053987264633,116.604542732238,13.2727439403533,0.0891828536987304,11337.8322720527,2371,11667,0.2032227650638553,274.267946481704
1024,1024,2,2560,1,3,133.24083328247,114.879032135009,12.5094542503356,0.0872271060943603,11103.4027735392,2399,11667,0.2056226964943859,274.267756223678
1024,1024,2,2560,2,1,140.973289012908,122.039856672286,12.9417185783386,0.0879619121551513,11747.774084409,2413,11667,0.20682266220965115,280.819190263748
1024,1024,2,2560,2,2,142.737771749496,123.720790147781,12.9628143310546,0.0877962112426757,11894.814312458,2413,11667,0.20682266220965115,280.818902254104
1024,1024,2,2560,2,3,137.310889244079,119.276228904724,12.3011202812194,0.0870947837829589,11442.574103673,2360,11667,0.20227993485900403,280.818438291549
1024,1024,3,2560,1,1,141.327490091323,122.112344026565,13.0993237495422,0.0894107818603515,11777.2908409436,2219,11667,0.19019456586954658,281.524505376815
1024,1024,3,2560,1,2,140.329863071441,121.174973249435,13.0779185295104,0.0905084609985351,11694.1552559534,2209,11667,0.18933744750149994,281.525925397872
1024,1024,3,2560,1,3,139.94260764122,121.638912439346,12.5364687442779,0.0880885124206543,11661.8839701016,2205,11667,0.1889946001542813,281.52610206604
1024,1024,3,2560,2,1,140.294619083404,121.046353340148,13.0820472240448,0.0884685516357421,11691.2182569503,2385,11667,0.2044227307791206,279.538117408752
1024,1024,3,2560,2,2,141.110272407531,121.947928190231,13.0687072277069,0.0898830890655517,11759.1893672943,2365,11667,0.20270849404302735,279.538914918899
1024,1024,3,2560,2,3,135.735286712646,117.397309541702,12.5704541206359,0.0868189334869384,11311.2738927205,2312,11667,0.19816576669238023,279.54186463356
1024,1024,1,3072,1,1,138.464055299758,119.252952337265,13.1100604534149,0.0928206443786621,11538.6712749799,2230,11667,0.19113739607439786,275.774762153625
1024,1024,1,3072,1,2,136.481270551681,117.566996335983,12.8571960926055,0.0882160663604736,11373.4392126401,2225,11667,0.19070883689037457,275.775296211242
1024,1024,1,3072,1,3,132.934225082397,114.859405994415,12.3751962184906,0.0896387100219726,11077.8520901997,2137,11667,0.18316619525156425,275.774480581283
1024,1024,1,3072,2,1,144.533813476562,125.053292036056,13.2313261032104,0.0889863967895507,12044.4844563802,2304,11667,0.19748007199794293,284.464791774749
1024,1024,1,3072,2,2,145.099294662475,126.075522661209,13.0358967781066,0.0880920886993408,12091.6078885396,2331,11667,0.1997942915916688,284.464382410049
