Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
1024,1024,1,2560,2,2,138.4331753,119.2346282,13.09714389,0.08622026443,11536.09794,2395,11667,20.528%,281.0599551
1024,1024,1,2560,2,3,139.0397916,120.8327105,12.42121291,0.08809685707,11586.6493,2306,11667,19.765%,281.0608859
1024,1024,2,2560,1,1,137.2052524,118.0294549,13.04348087,0.08796048164,11433.77103,2401,11667,20.579%,274.265981
1024,1024,2,2560,1,2,136.0539873,116.6045427,13.27274394,0.0891828537,11337.83227,2371,11667,20.322%,274.2679465
1024,1024,2,2560,1,3,133.2408333,114.8790321,12.50945425,0.08722710609,11103.40277,2399,11667,20.562%,274.2677562
1024,1024,2,2560,2,1,140.973289,122.0398567,12.94171858,0.08796191216,11747.77408,2413,11667,20.682%,280.8191903
1024,1024,2,2560,2,2,142.7377717,123.7207901,12.96281433,0.08779621124,11894.81431,2413,11667,20.682%,280.8189023
1024,1024,2,2560,2,3,137.3108892,119.2762289,12.30112028,0.08709478378,11442.5741,2360,11667,20.228%,280.8184383
1024,1024,3,2560,1,1,141.3274901,122.112344,13.09932375,0.08941078186,11777.29084,2219,11667,19.019%,281.5245054
1024,1024,3,2560,1,2,140.3298631,121.1749732,13.07791853,0.090508461,11694.15526,2209,11667,18.934%,281.5259254
1024,1024,3,2560,1,3,139.9426076,121.6389124,12.53646874,0.08808851242,11661.88397,2205,11667,18.899%,281.5261021
1024,1024,3,2560,2,1,140.2946191,121.0463533,13.08204722,0.08846855164,11691.21826,2385,11667,20.442%,279.5381174
1024,1024,3,2560,2,2,141.1102724,121.9479282,13.06870723,0.08988308907,11759.18937,2365,11667,20.271%,279.5389149
1024,1024,3,2560,2,3,135.7352867,117.3973095,12.57045412,0.08681893349,11311.27389,2312,11667,19.817%,279.5418646
1024,1024,1,3072,1,1,138.4640553,119.2529523,13.11006045,0.09282064438,11538.67127,2230,11667,19.114%,275.7747622
1024,1024,1,3072,1,2,136.4812706,117.5669963,12.85719609,0.08821606636,11373.43921,2225,11667,19.071%,275.7752962
1024,1024,1,3072,1,3,132.9342251,114.859406,12.37519622,0.08963871002,11077.85209,2137,11667,18.317%,275.7744806
1024,1024,1,3072,2,1,144.5338135,125.053292,13.2313261,0.08898639679,12044.48446,2304,11667,19.748%,284.4647918
1024,1024,1,3072,2,2,145.0992947,126.0755227,13.03589678,0.0880920887,12091.60789,2331,11667,19.979%,284.4643824
1024,1024,1,3072,2,3,143.8904381,125.2787495,12.66729116,0.08637452126,11990.86984,2299,11667,19.705%,284.4650743
